send_time,client_id,thread_name,# of message,received_time,time_to_receive
2026-04-09 15:05:33.805482,malco-desktop-publisher,Thread-0,0,2026-04-09 15:05:33.805827,0.00034500
2026-04-09 15:05:34.806076,malco-desktop-publisher,Thread-0,1,2026-04-09 15:05:34.806395,0.00031900
2026-04-09 15:05:35.806706,malco-desktop-publisher,Thread-0,2,2026-04-09 15:05:35.806968,0.00026200
2026-04-09 15:05:36.807363,malco-desktop-publisher,Thread-0,3,2026-04-09 15:05:36.807664,0.00030100
2026-04-09 15:05:37.807828,malco-desktop-publisher,Thread-0,4,2026-04-09 15:05:37.808059,0.00023100
2026-04-09 15:05:38.808368,malco-desktop-publisher,Thread-0,5,2026-04-09 15:05:38.808618,0.00025000
2026-04-09 15:05:39.809023,malco-desktop-publisher,Thread-0,6,2026-04-09 15:05:39.809269,0.00024600
2026-04-09 15:05:40.809406,malco-desktop-publisher,Thread-0,7,2026-04-09 15:05:40.809641,0.00023500
2026-04-09 15:05:41.809782,malco-desktop-publisher,Thread-0,8,2026-04-09 15:05:41.810016,0.00023400
2026-04-09 15:05:42.810273,malco-desktop-publisher,Thread-0,9,2026-04-09 15:05:42.810524,0.00025100
