send_time,client_id,thread_name,# of message,received_time,time_to_receive
2026-04-09 15:05:05.235024,c265c91d1dddf27ff16a19982523280,thread1,0,2026-04-09 15:05:05.235353,0.00032900
2026-04-09 15:05:06.235274,c265c91d1dddf27ff16a19982523280,thread1,1,2026-04-09 15:05:06.235502,0.00022800
2026-04-09 15:05:07.235612,c265c91d1dddf27ff16a19982523280,thread1,2,2026-04-09 15:05:07.235836,0.00022400
2026-04-09 15:05:08.236139,c265c91d1dddf27ff16a19982523280,thread1,3,2026-04-09 15:05:08.236362,0.00022300
2026-04-09 15:05:09.236294,c265c91d1dddf27ff16a19982523280,thread1,4,2026-04-09 15:05:09.236495,0.00020100
2026-04-09 15:05:10.236524,c265c91d1dddf27ff16a19982523280,thread1,5,2026-04-09 15:05:10.236778,0.00025400
2026-04-09 15:05:11.237012,c265c91d1dddf27ff16a19982523280,thread1,6,2026-04-09 15:05:11.237239,0.00022700
2026-04-09 15:05:12.237285,c265c91d1dddf27ff16a19982523280,thread1,7,2026-04-09 15:05:12.237492,0.00020700
2026-04-09 15:05:13.237421,c265c91d1dddf27ff16a19982523280,thread1,8,2026-04-09 15:05:13.237619,0.00019800
2026-04-09 15:05:14.237707,c265c91d1dddf27ff16a19982523280,thread1,9,2026-04-09 15:05:14.237922,0.00021500
